user,order,which_app,total_time,mc_retention_acc,recall_retention_acc,pre_score,mc_one_week,mc_two_mons
1,1,Flashcard,7.05,95.00%,85%,28,95.00%,85.00%
1,2,Quizbot,38.63,82.40%,76%,31,76.50%,70.60%
2,2,Flashcard,7.65,36.40%,27%,26,54.50%,45.50%
2,1,Quizbot,42.77,94.70%,95%,29,89.50%,84.20%
3,1,Flashcard,4.8,30.00%,23%,18,33.30%,40.00%
3,2,Quizbot,44.23,81.00%,90%,27,81.00%,57.10%
4,2,Flashcard,13.54,86.20%,69%,19,79.30%,65.50%
4,1,Quizbot,40.58,91.30%,70%,25,82.60%,52.20%
5,1,Flashcard,25.81,70.00%,37%,18,70.00%,33.30%
5,2,Quizbot,52.11,87.10%,45%,17,83.90%,35.50%
6,2,Flashcard,11.93,47.60%,29%,27,42.90%,9.50%
6,1,Quizbot,55.97,90.00%,65%,28,95.00%,30.00%
7,1,Flashcard,19.75,75.00%,61%,20,78.60%,53.60%
7,2,Quizbot,47.88,100.00%,83%,25,100.00%,87.00%
8,2,Flashcard,10.46,89.30%,71%,20,82.10%,60.70%
8,1,Quizbot,43.87,95.70%,87%,25,87.00%,82.60%
9,1,Flashcard,11.88,54.50%,30%,15,57.60%,3.00%
9,2,Quizbot,43.74,90.30%,52%,17,80.60%,3.20%
10,2,Flashcard,13.9,78.10%,53%,16,75.00%,75.00%
10,1,Quizbot,45.22,92.60%,78%,21,96.30%,74.10%
11,1,Flashcard,12.06,84.00%,76%,23,56.00%,88.00%
11,2,Quizbot,38.3,87.50%,81%,32,56.30%,75.00%
12,1,Flashcard,7.37,68.20%,50%,26,72.70%,40.90%
12,2,Quizbot,45.38,91.70%,75%,24,91.70%,75.00%
13,2,Flashcard,7.86,64.70%,47%,14,55.90%,29.40%
13,1,Quizbot,35.95,67.70%,61%,17,51.60%,29.00%
14,1,Flashcard,6.9,59.10%,59%,26,77.30%,59.10%
14,2,Quizbot,35.83,100.00%,83%,30,88.90%,72.20%
15,2,Flashcard,20.83,70.60%,47%,14,76.50%,79.20%
15,1,Quizbot,56.09,71.40%,54%,20,71.40%,80.00%
16,2,Flashcard,8.63,50.00%,21%,14,50.00%,35.30%
16,1,Quizbot,45.69,78.80%,42%,15,75.80%,36.40%
17,1,Flashcard,33.18,100.00%,77%,17,90.30%,71.00%
17,2,Quizbot,55.53,93.10%,93%,19,89.70%,82.80%
18,1,Flashcard,9.44,50.00%,23%,26,50.00%,0.00%
18,2,Quizbot,43.96,88.00%,48%,23,88.00%,8.00%
19,1,Flashcard,7.65,58.60%,34%,19,58.60%,34.50%
19,2,Quizbot,46.49,83.90%,42%,17,74.20%,58.10%
20,2,Flashcard,11.53,38.50%,3%,9,33.30%,30.80%
20,1,Quizbot,47.63,85.70%,12%,6,81.00%,45.20%
21,1,Flashcard,15.12,77.80%,41%,21,77.80%,63.00%
21,2,Quizbot,35.52,95.80%,83%,24,95.80%,75.00%
22,2,Flashcard,8.15,31.00%,21%,19,34.50%,6.90%
22,1,Quizbot,50.07,76.90%,50%,22,73.10%,3.80%
23,2,Flashcard,11.28,40.60%,16%,16,28.10%,3.10%
23,1,Quizbot,50.87,69.00%,34%,19,65.50%,6.90%
24,2,Flashcard,20.86,100.00%,70%,25,100.00%,17.40%
24,1,Quizbot,45.77,91.30%,78%,25,95.70%,0.00%
25,2,Flashcard,16.58,31.30%,9%,16,31.30%,0.00%
25,1,Quizbot,56.49,69.70%,45%,15,75.80%,6.10%
26,1,Flashcard,21.95,81.80%,45%,15,87.90%,88.90%
26,2,Quizbot,52.38,96.80%,61%,17,90.30%,83.30%
27,2,Flashcard,9.13,45.70%,26%,13,48.60%,11.40%
27,1,Quizbot,40.22,69.40%,47%,12,69.40%,16.70%
28,2,Flashcard,18.68,63.00%,33%,21,59.30%,40.70%
28,1,Quizbot,46.46,89.30%,39%,20,89.30%,64.30%
29,2,Flashcard,7.24,54.20%,38%,24,50.00%,25.00%
29,1,Quizbot,46.09,100.00%,68%,29,94.70%,21.10%
30,2,Flashcard,13.19,59.40%,9%,16,40.60%,15.60%
30,1,Quizbot,44.06,74.10%,44%,21,77.80%,3.70%
31,2,Flashcard,17.44,84.00%,56%,23,84.00%,16.00%
31,1,Quizbot,45.92,80.80%,65%,22,76.90%,3.80%
32,1,Flashcard,31.39,67.60%,59%,14,64.70%,
32,2,Quizbot,51.04,83.30%,63%,18,70.00%,
33,1,Flashcard,29.52,84.00%,68%,23,80.00%,76.00%
33,2,Quizbot,50.47,81.80%,50%,26,72.70%,59.10%
34,1,Flashcard,4.93,31.90%,13%,1,27.70%,31.90%
34,2,Quizbot,40.4,100.00%,98%,6,97.60%,92.90%
35,1,Flashcard,7.14,84.20%,58%,29,84.20%,73.70%
35,2,Quizbot,33.5,100.00%,89%,29,94.70%,68.40%
36,1,Flashcard,24.33,100.00%,93%,20,96.40%,92.90%
36,2,Quizbot,46.69,100.00%,100%,23,100.00%,100.00%
37,1,Flashcard,15.11,73.10%,58%,22,73.10%,46.20%
37,2,Quizbot,47.8,92.00%,80%,23,88.00%,76.00%
38,2,Flashcard,18.34,63.00%,41%,21,63.00%,33.30%
38,1,Quizbot,60.11,96.20%,85%,22,92.30%,53.80%
39,2,Flashcard,9.43,55.20%,45%,19,62.10%,51.70%
39,1,Quizbot,38.89,67.90%,50%,20,85.70%,67.90%
40,1,Flashcard,19.09,96.70%,90%,18,93.30%,80.00%
40,2,Quizbot,50.83,100.00%,89%,21,96.30%,85.20%
