which_app,sci recog,safety recog,gre recog,sci recall,safety recall,gre recall,sci prescore,safety prescore,gre prescore,sci one week,safety one week,gre one week
flashcard,57.10%,22.20%,33.30%,28.60%,11.10%,50.00%,9,7,10,57.10%,44.40%,66.70%
quizbot,100.00%,100.00%,85.70%,100.00%,83.30%,100.00%,10,10,9,100.00%,83.30%,85.70%
flashcard,85.70%,100.00%,100.00%,85.70%,83.30%,100.00%,9,4,15,85.70%,100.00%,100.00%
quizbot,87.50%,71.40%,100.00%,87.50%,57.10%,100.00%,8,9,14,87.50%,57.10%,100.00%
flashcard,71.40%,10.00%,23.10%,42.90%,20.00%,15.40%,9,6,3,71.40%,0.00%,38.50%
quizbot,100.00%,71.40%,77.80%,100.00%,71.40%,100.00%,11,9,7,100.00%,71.40%,77.80%
flashcard,100.00%,50.00%,33.30%,80.00%,16.70%,33.30%,6,10,10,100.00%,66.70%,33.30%
quizbot,100.00%,80.00%,100.00%,71.40%,70.00%,85.70%,9,6,9,100.00%,80.00%,100.00%
flashcard,76.90%,71.40%,100.00%,61.50%,50.00%,40.00%,3,2,11,69.20%,78.60%,80.00%
quizbot,92.30%,88.90%,100.00%,84.60%,66.70%,80.00%,3,7,11,92.30%,100.00%,100.00%
flashcard,62.50%,66.70%,40.00%,62.50%,66.70%,40.00%,8,7,11,87.50%,77.80%,60.00%
quizbot,100.00%,100.00%,100.00%,100.00%,80.00%,80.00%,13,6,11,100.00%,90.00%,80.00%
flashcard,36.40%,71.40%,33.30%,18.20%,57.10%,0.00%,5,9,13,36.40%,57.10%,33.30%
quizbot,100.00%,100.00%,33.30%,50.00%,81.80%,33.30%,10,5,13,100.00%,100.00%,66.70%
flashcard,63.60%,71.40%,75.00%,36.40%,71.40%,16.70%,5,9,4,63.60%,71.40%,75.00%
quizbot,100.00%,91.70%,75.00%,71.40%,50.00%,25.00%,9,4,4,100.00%,75.00%,83.30%
flashcard,90.90%,90.00%,75.00%,81.80%,80.00%,37.50%,5,6,8,90.90%,80.00%,62.50%
quizbot,100.00%,100.00%,80.00%,66.70%,100.00%,50.00%,10,9,6,100.00%,71.40%,80.00%
flashcard,75.00%,50.00%,100.00%,62.50%,50.00%,70.00%,8,6,6,87.50%,60.00%,90.00%
quizbot,100.00%,100.00%,100.00%,100.00%,88.90%,62.50%,10,7,8,100.00%,100.00%,100.00%
flashcard,57.10%,75.00%,87.50%,42.90%,58.30%,37.50%,2,4,8,78.60%,75.00%,75.00%
quizbot,58.30%,80.00%,83.30%,41.70%,70.00%,50.00%,4,6,10,66.70%,90.00%,50.00%
flashcard,87.50%,85.70%,100.00%,50.00%,78.60%,83.30%,8,2,10,75.00%,78.60%,100.00%
quizbot,87.50%,100.00%,100.00%,87.50%,88.90%,83.30%,8,7,10,87.50%,77.80%,100.00%
flashcard,100.00%,100.00%,100.00%,80.00%,81.80%,70.00%,6,5,6,90.00%,81.80%,100.00%
quizbot,81.80%,100.00%,100.00%,81.80%,100.00%,100.00%,5,7,7,90.90%,88.90%,88.90%
flashcard,50.00%,55.60%,0.00%,0.00%,33.30%,0.00%,6,7,3,60.00%,44.40%,0.00%
quizbot,100.00%,66.70%,50.00%,44.40%,75.00%,16.70%,7,4,4,88.90%,83.30%,58.30%
flashcard,38.50%,41.70%,42.90%,7.70%,33.30%,0.00%,3,4,9,30.80%,33.30%,14.30%
quizbot,75.00%,66.70%,66.70%,12.50%,33.30%,55.60%,8,4,7,62.50%,75.00%,55.60%
flashcard,100.00%,80.00%,77.80%,100.00%,70.00%,66.70%,10,6,7,83.30%,40.00%,55.60%
quizbot,66.70%,100.00%,85.70%,100.00%,83.30%,71.40%,13,10,9,100.00%,50.00%,42.90%
flashcard,22.20%,57.10%,83.30%,22.20%,42.90%,0.00%,7,9,10,44.40%,71.40%,33.30%
quizbot,88.90%,88.90%,85.70%,33.30%,77.80%,28.60%,7,7,9,77.80%,88.90%,100.00%
flashcard,33.30%,90.90%,44.40%,11.10%,54.50%,33.30%,7,5,7,22.20%,90.90%,55.60%
quizbot,90.00%,87.50%,76.90%,50.00%,25.00%,46.20%,6,8,3,90.00%,75.00%,61.50%
flashcard,87.50%,60.00%,88.90%,75.00%,10.00%,44.40%,8,6,7,87.50%,60.00%,88.90%
quizbot,100.00%,100.00%,75.00%,88.90%,90.90%,50.00%,7,5,12,100.00%,100.00%,75.00%
flashcard,61.50%,72.70%,22.20%,23.10%,54.50%,11.10%,3,5,7,61.50%,81.80%,22.20%
quizbot,100.00%,90.90%,71.40%,69.20%,45.50%,28.60%,3,5,9,100.00%,72.70%,57.10%
flashcard,66.70%,88.90%,100.00%,55.60%,66.70%,42.90%,7,7,9,77.80%,77.80%,100.00%
quizbot,66.70%,87.50%,100.00%,50.00%,75.00%,83.30%,4,8,10,58.30%,87.50%,100.00%
flashcard,100.00%,87.50%,75.00%,100.00%,87.50%,41.70%,11,8,4,100.00%,87.50%,66.70%
quizbot,100.00%,100.00%,69.20%,100.00%,100.00%,15.40%,14,9,3,100.00%,100.00%,53.80%
flashcard,66.70%,55.60%,66.70%,44.40%,22.20%,33.30%,7,7,7,55.60%,44.40%,77.80%
quizbot,100.00%,81.80%,85.70%,50.00%,36.40%,28.60%,6,5,9,100.00%,81.80%,85.70%
flashcard,53.80%,50.00%,8.30%,0.00%,7.10%,0.00%,3,2,4,30.80%,50.00%,16.70%
quizbot,87.50%,100.00%,73.30%,6.30%,27.30%,6.70%,0,5,1,75.00%,90.90%,80.00%
flashcard,90.00%,72.70%,38.50%,60.00%,72.70%,15.40%,6,5,3,80.00%,72.70%,23.10%
quizbot,80.00%,100.00%,38.50%,80.00%,87.50%,30.80%,6,8,3,80.00%,87.50%,7.70%
flashcard,41.70%,22.20%,25.00%,8.30%,33.30%,25.00%,4,7,8,25.00%,55.60%,25.00%
quizbot,72.70%,100.00%,57.10%,27.30%,62.50%,71.40%,5,8,9,63.60%,87.50%,71.40%
flashcard,26.70%,37.50%,31.30%,20.00%,18.80%,0.00%,1,0,0,33.30%,31.30%,18.80%
quizbot,100.00%,100.00%,100.00%,100.00%,91.70%,100.00%,2,4,0,100.00%,91.70%,100.00%
flashcard,100.00%,100.00%,100.00%,87.50%,85.70%,37.50%,8,9,8,100.00%,100.00%,100.00%
quizbot,100.00%,66.70%,100.00%,100.00%,83.30%,66.70%,11,10,4,100.00%,100.00%,91.70%
flashcard,83.30%,90.90%,70.00%,50.00%,36.40%,50.00%,4,5,6,100.00%,81.80%,80.00%
quizbot,100.00%,100.00%,90.00%,66.70%,55.60%,60.00%,4,7,6,83.30%,100.00%,90.00%
flashcard,70.00%,60.00%,71.40%,70.00%,70.00%,42.90%,6,6,2,70.00%,60.00%,64.30%
quizbot,100.00%,90.00%,60.00%,70.00%,80.00%,40.00%,6,6,6,90.00%,60.00%,60.00%
flashcard,77.80%,50.00%,33.30%,44.40%,10.00%,13.30%,7,6,1,77.80%,40.00%,40.00%
quizbot,100.00%,70.00%,69.20%,60.00%,30.00%,38.50%,6,6,3,100.00%,70.00%,61.50%
flashcard,80.00%,90.00%,75.00%,60.00%,50.00%,75.00%,11,6,12,80.00%,100.00%,50.00%
quizbot,100.00%,100.00%,100.00%,100.00%,90.00%,75.00%,11,6,12,100.00%,90.00%,100.00%
flashcard,66.70%,53.80%,0.00%,33.30%,46.20%,0.00%,7,3,14,66.70%,46.20%,0.00%
quizbot,100.00%,100.00%,100.00%,83.30%,63.60%,50.00%,10,5,14,100.00%,90.90%,100.00%
flashcard,57.10%,76.90%,83.30%,57.10%,53.80%,66.70%,9,3,10,57.10%,76.90%,83.30%
quizbot,71.40%,100.00%,100.00%,42.90%,92.90%,100.00%,9,2,12,71.40%,100.00%,75.00%
flashcard,28.60%,50.00%,71.40%,21.40%,28.60%,28.60%,2,2,9,35.70%,42.90%,85.70%
quizbot,73.30%,58.30%,77.80%,46.70%,50.00%,44.40%,1,4,7,80.00%,58.30%,66.70%
flashcard,66.70%,50.00%,40.00%,41.70%,50.00%,40.00%,4,4,11,66.70%,75.00%,20.00%
quizbot,69.20%,70.00%,60.00%,46.20%,40.00%,80.00%,3,6,11,76.90%,90.00%,100.00%
flashcard,100.00%,92.30%,100.00%,80.00%,100.00%,85.70%,6,3,9,100.00%,92.30%,85.70%
quizbot,100.00%,100.00%,100.00%,77.80%,90.00%,100.00%,7,6,8,100.00%,100.00%,87.50%
