Question,A1ING769NXJIHR: QuizA,A1ING769NXJIHR: QuizB,AFRJKS3Z3H4CA: QuizA,AFRJKS3Z3H4CA: QuizB,A3OB2U61EFEHNP: QuizA,A3OB2U61EFEHNP: QuizB,A1MDZ1K2AL9EKW: QuizA,A1MDZ1K2AL9EKW: QuizB,A2YAYHZYI7M3HD: QuizA,A2YAYHZYI7M3HD: QuizB,A2XQ3CFB5HT2ZQ: QuizA,A2XQ3CFB5HT2ZQ: QuizB,A1945USNZHTROX: QuizA,A1945USNZHTROX: QuizB,A2FL477TMKC91L: QuizA,A2FL477TMKC91L: QuizB,AK2C9AX5QJWUU: QuizA,AK2C9AX5QJWUU: QuizB,AKZ8SFOAI4RZN: QuizA,AKZ8SFOAI4RZN: QuizB,A17MUXOICSH29I: QuizA,A17MUXOICSH29I: QuizB,A2WGOCFKSFGADL: QuizA,A2WGOCFKSFGADL: QuizB,A3LRZX8477TYYZ: QuizA,A3LRZX8477TYYZ: QuizB,A1AQILM7ERX2D0: QuizA,A1AQILM7ERX2D0: QuizB,A5NE8TWS8ZV7B: QuizA,A5NE8TWS8ZV7B: QuizB,A8KX1HFH8NE2Q: QuizA,A8KX1HFH8NE2Q: QuizB,A1WYDO7PQJ8UG: QuizA,A1WYDO7PQJ8UG: QuizB,AGON2ML5JT2OI: QuizA,AGON2ML5JT2OI: QuizB,A1P6OXEJ86HQRM: QuizA,A1P6OXEJ86HQRM: QuizB
0,,,,,,,iconoclastic,iconoclastic,meritless,meritless,blithe,blithe,iconoclastic,meritless,meritless,meritless,meritless,meritless,,,meritless,blithe,meritless,iconoclastic,iconoclastic,iconoclastic,meritless,,,,meretricious,meretricious,meritless,meritless,inveterate,inveterate,iconoclastic,iconoclastic
1,,,,,,,head,head,,,,,,,,,,,head,head,knee,head,,,head,head,,,,,,,head,head,tongue,tongue,head,head
2,,,,,,,,,gibberellins,gibberellins,,,,,,,,,,,pores,pores,,,gibberellins,gibberellins,,,,,,,,,sporozoans,sporozoans,pistills,pistills
3,,,,,,,,,,,,,System Level Monitor,Service Lifecycle Management,,,,,,,Service Lifecycle Management,Service Lifecycle Management,,,,,,,,,,,,,,,System Level Monitor,System Level Monitor
4,dubious,dubious,dubious,dubious,,,dubious,dubious,solvent,solvent,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,,solvent,solvent,dubious,dubious,,dubious,dubious,dubious,dubious,dubious
5,,,,,,,genetic variation,genetic variation,genetic variation,genetic variation,,,,,genetic variation,genetic variation,,,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,,,,,,,,,genetic variation,genetic variation,genetic variation,genetic variation
6,Wash the wound with soap,Wash the wound with soap,,,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Cover the wound,Cover the wound,,,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap,,,Cover the wound,Apply an antibiotic to the wound,,,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,,,Wash the wound with soap,Wash the wound with soap,Cover the wound,Cover the wound
7,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,benefactors,benefactors,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,benefactors,benefactors,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,,,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants
8,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,inexact,inexact,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic
9,,,,,,,,,copper,copper,,,calcium,,,,,,,,aluminum,aluminum,,,aluminum,aluminum,,,,,aluminum,aluminum,,,,,calcium,calcium
