Default Report
Last Modified: 2018-08-19 20:21:03 MDT


"Q1 - Though many _____ endlessly praised his work, Dan often wished for some honest criticism."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00,5.00,3.79,1.51,2.27,58

#,Answer,%,Count
1,pedants,6.90%,4
2,benefactors,25.86%,15
3,adversaries,6.90%,4
4,mavericks,1.72%,1
5,sycophants,58.62%,34
,Total,100%,58

Q2 - What broad group of animals are the first true tetrapods?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What broad group of animals are the first true tetrapods?,1.00,4.00,3.03,1.07,1.15,34

#,Answer,%,Count
1,fish,8.82%,3
2,reptiles,29.41%,10
3,mammals,11.76%,4
4,amphibians,50.00%,17
,Total,100%,34

Q3 - On what day of the cycle does ovulation usually occur?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,On what day of the cycle does ovulation usually occur?,1.00,4.00,3.48,0.91,0.82,42

#,Answer,%,Count
1,1st,4.76%,2
2,7th,14.29%,6
3,17th,9.52%,4
4,14th,71.43%,30
,Total,100%,42

"Q4 - Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",1.00,5.00,4.38,1.27,1.61,58

#,Answer,%,Count
1,inexact,6.90%,4
2,aggressive,8.62%,5
3,random,1.72%,1
4,shameless,5.17%,3
5,systematic,77.59%,45
,Total,100%,58

Q5 - What is the most abundant metal of the earth's crust?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the most abundant metal of the earth's crust?,1.00,4.00,3.27,1.04,1.07,41

#,Answer,%,Count
1,calcium,7.32%,3
2,copper,21.95%,9
3,magnetite,7.32%,3
4,aluminum,63.41%,26
,Total,100%,41

"Q6 - Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.",1.00,4.00,2.78,1.08,1.17,60

#,Answer,%,Count
1,"ii, iii, iv, i",23.33%,14
2,"i, iii, iv, ii",1.67%,1
3,"iv, ii, iii, i",48.33%,29
4,"iii, iv, ii, i",26.67%,16
,Total,100%,60

"Q7 - True or false: if you wear a back belt, you can lift more weight than you could without a belt."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",1.00,2.00,1.78,0.42,0.17,54

#,Answer,%,Count
1,True,22.22%,12
2,False,77.78%,42
,Total,100%,54

Q8 - What should you NOT do while lifting objects?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do while lifting objects?,2.00,4.00,3.83,0.52,0.27,60

#,Answer,%,Count
1,Keep the object close to your body,0.00%,0
2,Keep your back straight,6.67%,4
3,Bend at the knees,3.33%,2
4,Keep your feet together,90.00%,54
,Total,100%,60

Q9 - One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?,1.00,5.00,4.77,0.88,0.78,60

#,Answer,%,Count
1,transient,3.33%,2
2,maladjusted,3.33%,2
3,disturbed,0.00%,0
4,discreet,0.00%,0
5,static,93.33%,56
,Total,100%,60

Q10 - What living species of bird is considered the largest of the raptors?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What living species of bird is considered the largest of the raptors?,1.00,4.00,1.70,1.10,1.21,40

#,Answer,%,Count
1,California condor,65.00%,26
2,peregrine falcon,15.00%,6
3,pterodactyl,5.00%,2
4,golden eagles,15.00%,6
,Total,100%,40

"Q11 - Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness.",3.00,5.00,4.86,0.52,0.27,42

#,Answer,%,Count
1,enlargement,0.00%,0
2,garrulousness,0.00%,0
3,gregariousness,7.14%,3
4,perspicacity,0.00%,0
5,succinctness,92.86%,39
,Total,100%,42

Q12 - Which fire extinguishers are used to put out Class A fires?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Which fire extinguishers are used to put out Class A fires?,1.00,5.00,3.13,1.36,1.86,16

#,Answer,%,Count
1,CO2 only,12.50%,2
2,Water only,25.00%,4
3,Multi-purpose dry chemical only,25.00%,4
4,Both CO2 and water,12.50%,2
5,Both water and multi-purpose dry chemical,25.00%,4
,Total,100%,16

Q13 - The new lecture hall's _____ design reflected the architect's minimalist influences.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The new lecture hall's _____ design reflected the architect's minimalist influences.,4.00,5.00,4.98,0.12,0.02,65

#,Answer,%,Count
1,posh,0.00%,0
2,intricate,0.00%,0
3,refulgent,0.00%,0
4,grandiose,1.54%,1
5,unadorned,98.46%,64
,Total,100%,65

"Q14 - Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",1.00,5.00,4.85,0.66,0.44,52

#,Answer,%,Count
1,fortification,1.92%,1
2,adulteration,0.00%,0
3,accretion,3.85%,2
4,adumbration,0.00%,0
5,appraisal,94.23%,49
,Total,100%,52

"Q15 - Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",1.00,5.00,3.98,1.13,1.27,45

#,Answer,%,Count
1,blithe,8.89%,4
2,inveterate,2.22%,1
3,meretricious,4.44%,2
4,meritless,51.11%,23
5,iconoclastic,33.33%,15
,Total,100%,45

"Q16 - With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",1.00,5.00,4.62,1.07,1.15,61

#,Answer,%,Count
1,admires,4.92%,3
2,obfuscates,4.92%,3
3,disenchants,1.64%,1
4,sanctions,0.00%,0
5,evokes,88.52%,54
,Total,100%,61

"Q17 - Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",2.00,5.00,3.42,1.22,1.49,24

#,Answer,%,Count
1,desultory,0.00%,0
2,endemic,33.33%,8
3,salient,20.83%,5
4,seminal,16.67%,4
5,ineluctable,29.17%,7
,Total,100%,24

"Q18 - Emmet Ray, a fictional jazz guitarist in Woody Allen's film Sweet and Lowdown, is a paradoxical character; while he displays sophisticated musical artistry, his personality is typically _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Emmet Ray, a fictional jazz guitarist in Woody Allen's film Sweet and Lowdown, is a paradoxical character; while he displays sophisticated musical artistry, his personality is typically _____ .",1.00,5.00,3.30,1.76,3.10,47

#,Answer,%,Count
1,petulant,31.91%,15
2,elegant,2.13%,1
3,audacious,17.02%,8
4,multifaceted,2.13%,1
5,maladroit,46.81%,22
,Total,100%,47

"Q19 - In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
