Default Report
Last Modified: 2018-08-21 21:57:23 MDT


"Q1 - With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",1.00,5.00,3.00,1.58,2.50,4

#,Answer,%,Count
1,admires,25.00%,1
2,obfuscates,25.00%,1
3,disenchants,0.00%,0
4,sanctions,25.00%,1
5,evokes,25.00%,1
,Total,100%,4

"Q2 - True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness.",2.00,2.00,2.00,0.00,0.00,4

#,Answer,%,Count
1,True,0.00%,0
2,False,100.00%,4
,Total,100%,4

Q3 - What is the diffusion of water through a semipermeable membrane down its concentration gradient?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the diffusion of water through a semipermeable membrane down its concentration gradient?,4.00,4.00,4.00,0.00,0.00,2

#,Answer,%,Count
1,nutrients,0.00%,0
2,mirrors,0.00%,0
3,permable,0.00%,0
4,osmosis,100.00%,2
,Total,100%,2

"Q4 - Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession.",5.00,5.00,5.00,0.00,0.00,2

#,Answer,%,Count
1,proscribed,0.00%,0
2,refuted,0.00%,0
3,undermined,0.00%,0
4,admonished,0.00%,0
5,touted,100.00%,2
,Total,100%,2

Q6 - How does a neon light produce visible light?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How does a neon light produce visible light?,1.00,4.00,2.00,1.22,1.50,4

#,Answer,%,Count
1,luminescence,50.00%,2
2,radiation,25.00%,1
3,mitosis,0.00%,0
4,electroluminescence,25.00%,1
,Total,100%,4

Q7 - True or false: the primary function of a fire door is to exit a building in case of fire.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: the primary function of a fire door is to exit a building in case of fire.,2.00,2.00,2.00,0.00,0.00,4

#,Answer,%,Count
1,True,0.00%,0
2,False,100.00%,4
,Total,100%,4

