Default Report
Last Modified: 2018-09-08 10:27:54 MDT


"Q1 - Though many _____ endlessly praised his work, Dan often wished for some honest criticism."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00,5.00,4.46,1.15,1.33,35

#,Answer,%,Count
1,pedants,2.86%,1
2,benefactors,11.43%,4
3,adversaries,2.86%,1
4,mavericks,2.86%,1
5,sycophants,80.00%,28
,Total,100%,35

Q2 - What broad group of animals are the first true tetrapods?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What broad group of animals are the first true tetrapods?,2.00,4.00,3.33,0.91,0.82,30

#,Answer,%,Count
1,fish,0.00%,0
2,reptiles,30.00%,9
3,mammals,6.67%,2
4,amphibians,63.33%,19
,Total,100%,30

Q3 - On what day of the cycle does ovulation usually occur?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,On what day of the cycle does ovulation usually occur?,1.00,4.00,3.29,0.84,0.70,28

#,Answer,%,Count
1,1st,3.57%,1
2,7th,14.29%,4
3,17th,32.14%,9
4,14th,50.00%,14
,Total,100%,28

"Q4 - Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",1.00,5.00,4.35,1.28,1.63,37

#,Answer,%,Count
1,inexact,5.41%,2
2,aggressive,10.81%,4
3,random,5.41%,2
4,shameless,0.00%,0
5,systematic,78.38%,29
,Total,100%,37

Q5 - What is the most abundant metal of the earth's crust?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the most abundant metal of the earth's crust?,1.00,4.00,2.94,1.25,1.57,33

#,Answer,%,Count
1,calcium,24.24%,8
2,copper,9.09%,3
3,magnetite,15.15%,5
4,aluminum,51.52%,17
,Total,100%,33

"Q6 - Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.",1.00,4.00,2.90,1.13,1.27,39

#,Answer,%,Count
1,"ii, iii, iv, i",23.08%,9
2,"i, iii, iv, ii",0.00%,0
3,"iv, ii, iii, i",41.03%,16
4,"iii, iv, ii, i",35.90%,14
,Total,100%,39

"Q7 - True or false: if you wear a back belt, you can lift more weight than you could without a belt."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",1.00,2.00,1.55,0.50,0.25,33

#,Answer,%,Count
1,True,45.45%,15
2,False,54.55%,18
,Total,100%,33

Q8 - What should you NOT do while lifting objects?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do while lifting objects?,1.00,4.00,3.62,0.87,0.75,39

#,Answer,%,Count
1,Keep the object close to your body,5.13%,2
2,Keep your back straight,10.26%,4
3,Bend at the knees,2.56%,1
4,Keep your feet together,82.05%,32
,Total,100%,39

Q9 - One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?,1.00,5.00,4.50,1.23,1.51,38

#,Answer,%,Count
1,transient,7.89%,3
2,maladjusted,5.26%,2
3,disturbed,0.00%,0
4,discreet,2.63%,1
5,static,84.21%,32
,Total,100%,38

Q10 - What living species of bird is considered the largest of the raptors?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What living species of bird is considered the largest of the raptors?,1.00,4.00,2.23,0.80,0.64,13

#,Answer,%,Count
1,California condor,15.38%,2
2,peregrine falcon,53.85%,7
3,pterodactyl,23.08%,3
4,golden eagles,7.69%,1
,Total,100%,13

"Q11 - Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness.",2.00,5.00,4.53,1.06,1.12,30

#,Answer,%,Count
1,enlargement,0.00%,0
2,garrulousness,13.33%,4
3,gregariousness,3.33%,1
4,perspicacity,0.00%,0
5,succinctness,83.33%,25
,Total,100%,30

Q12 - Which fire extinguishers are used to put out Class A fires?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Which fire extinguishers are used to put out Class A fires?,1.00,5.00,3.20,1.29,1.66,20

#,Answer,%,Count
1,CO2 only,15.00%,3
2,Water only,10.00%,2
3,Multi-purpose dry chemical only,35.00%,7
4,Both CO2 and water,20.00%,4
5,Both water and multi-purpose dry chemical,20.00%,4
,Total,100%,20

"Q13 - Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
