Default Report
Last Modified: 2018-08-19 16:37:29 MDT


"Q1 - With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",1.00,5.00,4.43,1.32,1.75,61

#,Answer,%,Count
1,admires,9.84%,6
2,obfuscates,4.92%,3
3,disenchants,1.64%,1
4,sanctions,0.00%,0
5,evokes,83.61%,51
,Total,100%,61

"Q2 - True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness.",1.00,2.00,1.97,0.17,0.03,66

#,Answer,%,Count
1,True,3.03%,2
2,False,96.97%,64
,Total,100%,66

Q3 - What is the diffusion of water through a semipermeable membrane down its concentration gradient?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the diffusion of water through a semipermeable membrane down its concentration gradient?,3.00,4.00,3.91,0.29,0.09,53

#,Answer,%,Count
1,nutrients,0.00%,0
2,mirrors,0.00%,0
3,permable,9.43%,5
4,osmosis,90.57%,48
,Total,100%,53

"Q4 - Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession.",1.00,5.00,4.83,0.74,0.55,64

#,Answer,%,Count
1,proscribed,3.13%,2
2,refuted,0.00%,0
3,undermined,1.56%,1
4,admonished,1.56%,1
5,touted,93.75%,60
,Total,100%,64

Q5 - True or false: portable fire extinguishers should only be used by trained employees.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: portable fire extinguishers should only be used by trained employees.,1.00,2.00,1.36,0.48,0.23,45

#,Answer,%,Count
1,False,64.44%,29
2,True,35.56%,16
,Total,100%,45

Q6 - How does a neon light produce visible light?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How does a neon light produce visible light?,1.00,4.00,2.83,1.41,2.00,41

#,Answer,%,Count
1,luminescence,34.15%,14
2,radiation,7.32%,3
3,mitosis,0.00%,0
4,electroluminescence,58.54%,24
,Total,100%,41

Q7 - True or false: the primary function of a fire door is to exit a building in case of fire.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: the primary function of a fire door is to exit a building in case of fire.,1.00,2.00,1.32,0.47,0.22,63

#,Answer,%,Count
1,True,68.25%,43
2,False,31.75%,20
,Total,100%,63

"Q8 - Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior.",2.00,5.00,4.90,0.48,0.23,59

#,Answer,%,Count
1,advanced,0.00%,0
2,ameliorated,1.69%,1
3,supplanted,1.69%,1
4,enhanced,1.69%,1
5,hampered,94.92%,56
,Total,100%,59

Q9 - To what does the acronym SLM refer?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,To what does the acronym SLM refer?,1.00,4.00,2.88,1.37,1.87,17

#,Answer,%,Count
1,Service Lifecycle Management,29.41%,5
2,System Level Monitor,11.76%,2
3,Sound Loudness Methods,0.00%,0
4,Sound Level Meter,58.82%,10
,Total,100%,17

"Q10 - What is a therian mammal in which the embryo is born at an early, immature stage?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What is a therian mammal in which the embryo is born at an early, immature stage?",2.00,4.00,3.94,0.33,0.11,36

#,Answer,%,Count
1,rodent,0.00%,0
2,bat,2.78%,1
3,carnivore,0.00%,0
4,marsupial,97.22%,35
,Total,100%,36

Q11 - What kind of viscosity is found in long-chain hydrocarbons?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What kind of viscosity is found in long-chain hydrocarbons?,2.00,4.00,3.78,0.63,0.40,9

#,Answer,%,Count
1,increased viscosity,0.00%,0
2,low viscosity,11.11%,1
3,intense viscosity,0.00%,0
4,high viscousity,88.89%,8
,Total,100%,9

Q12 - What is a symptom of a heatstroke?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is a symptom of a heatstroke?,2.00,5.00,4.77,0.64,0.41,60

#,Answer,%,Count
1,Rapid strong pulse,0.00%,0
2,Hallucinations,3.33%,2
3,Throbbing headache,1.67%,1
4,High body temperature,10.00%,6
5,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature",85.00%,51
,Total,100%,60

Q13 - The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.,1.00,5.00,4.68,0.84,0.71,65

#,Answer,%,Count
1,deceptive,1.54%,1
2,lengthy,1.54%,1
3,crafty,10.77%,7
4,impromptu,0.00%,0
5,eloquent,86.15%,56
,Total,100%,65

"Q14 - Though many _____ endlessly praised his work, Dan often wished for some honest criticism."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00,5.00,3.70,1.49,2.21,56

#,Answer,%,Count
1,pedants,3.57%,2
2,benefactors,33.93%,19
3,adversaries,7.14%,4
4,mavericks,0.00%,0
5,sycophants,55.36%,31
,Total,100%,56

Q15 - The electrode at which oxidation occurs is called the what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The electrode at which oxidation occurs is called the what?,1.00,4.00,2.64,1.39,1.94,14

#,Answer,%,Count
1,diode,35.71%,5
2,cathode,14.29%,2
3,calomel,0.00%,0
4,anode,50.00%,7
,Total,100%,14

"Q16 - Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",2.00,5.00,4.52,0.92,0.84,54

#,Answer,%,Count
1,powerful,0.00%,0
2,prosperous,5.56%,3
3,solvent,12.96%,7
4,fortuitous,5.56%,3
5,dubious,75.93%,41
,Total,100%,54

Q17 - The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?,2.00,5.00,3.75,0.97,0.94,8

#,Answer,%,Count
1,"Class A - Cloth, wood, paper, and rubber",0.00%,0
2,"Class C - Wiring, fuse boxes, electrical equipment, and computers",12.50%,1
3,"Class D - Combustible metals such as magnesium, potassium, titanium, and sodium",25.00%,2
4,Class K - Cooking fluids such as fats and oils,37.50%,3
5,"Class B - Plastics, polyethylene, styrofoam",25.00%,2
,Total,100%,8

Q18 - What living species of bird is considered the largest of the raptors?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What living species of bird is considered the largest of the raptors?,1.00,4.00,1.77,1.19,1.41,39

#,Answer,%,Count
1,California condor,64.10%,25
2,peregrine falcon,15.38%,6
3,pterodactyl,0.00%,0
4,golden eagles,20.51%,8
,Total,100%,39

Q19 - First aid treatment for a chemical burn involves what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,First aid treatment for a chemical burn involves what?,1.00,4.00,3.55,0.72,0.52,51

#,Answer,%,Count
1,Applying ointment over the affected area,3.92%,2
2,Removing dead skin,1.96%,1
3,Neutralizing the chemical,29.41%,15
4,"Flushing the chemicals off the affected area with cool, gently running water for 10 to 20 minutes",64.71%,33
,Total,100%,51

Q20 - While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,1.00,5.00,4.82,0.74,0.55,50

#,Answer,%,Count
1,vituperate,2.00%,1
2,illuminate,2.00%,1
3,covet,2.00%,1
4,desiccate,0.00%,0
5,obfuscate,94.00%,47
,Total,100%,50

Q21 - Myofibrils are long cylindrical structures that lie parallel to and run the entire length of what fibers?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Myofibrils are long cylindrical structures that lie parallel to and run the entire length of what fibers?,2.00,4.00,3.50,0.69,0.47,18

#,Answer,%,Count
1,uplift muscle fibers,0.00%,0
2,luminous muscle fibers,11.11%,2
3,heart muscle fibers,27.78%,5
4,skeletal muscle fibers,61.11%,11
,Total,100%,18

Q22 - Although his latest project was relatively _____ - little more than a few basic plot points scribbled on a napkin - the veteran screenwriter easily sold the story to a major Hollywood studio.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Although his latest project was relatively _____ - little more than a few basic plot points scribbled on a napkin - the veteran screenwriter easily sold the story to a major Hollywood studio.,2.00,5.00,4.96,0.36,0.13,67

#,Answer,%,Count
1,polished,0.00%,0
2,convoluted,1.49%,1
3,prosaic,0.00%,0
4,tortuous,0.00%,0
5,undeveloped,98.51%,66
,Total,100%,67

"Q23 - Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",1.00,5.00,4.36,1.32,1.74,53

#,Answer,%,Count
1,inexact,9.43%,5
2,aggressive,5.66%,3
3,random,1.89%,1
4,shameless,5.66%,3
5,systematic,77.36%,41
,Total,100%,53

"Q24 - If your co-worker needs CPR but you are not trained in it, what should you do?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"If your co-worker needs CPR but you are not trained in it, what should you do?",1.00,4.00,2.38,1.02,1.05,42

#,Answer,%,Count
1,Give rescue breaths only,14.29%,6
2,Wait for emergency personnel to arrive,59.52%,25
3,Lift the patient's head,0.00%,0
4,Perform chest compressions only,26.19%,11
,Total,100%,42

Q25 - What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,1.00,4.00,3.47,0.78,0.60,45

#,Answer,%,Count
